Addresss,station,walk_min,sale_price ,layout,floor_area_sqm,building_age,structure,description
あすみが丘,土気,3,11000000,３ＬＤＫ,70,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの３ＬＤＫ、70のマンションが11000000で取引された。
あすみが丘,土気,20,9000000,２ＬＤＫ,60,1993年,ＲＣ,あすみが丘、土気から20、1993年、ＲＣの２ＬＤＫ、60のマンションが9000000で取引された。
土気町,土気,5,11000000,３ＬＤＫ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、75のマンションが11000000で取引された。
あすみが丘,土気,16,21000000,３ＬＤＫ,70,2007年,ＲＣ,あすみが丘、土気から16、2007年、ＲＣの３ＬＤＫ、70のマンションが21000000で取引された。
あすみが丘,土気,17,16000000,３ＬＤＫ,80,1995年,ＲＣ,あすみが丘、土気から17、1995年、ＲＣの３ＬＤＫ、80のマンションが16000000で取引された。
土気町,土気,5,9000000,３ＬＤＫ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、75のマンションが9000000で取引された。
土気町,土気,5,12000000,３ＬＤＫ＋Ｓ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ＋Ｓ、75のマンションが12000000で取引された。
あすみが丘,土気,17,15000000,３ＬＤＫ,80,1997年,ＳＲＣ,あすみが丘、土気から17、1997年、ＳＲＣの３ＬＤＫ、80のマンションが15000000で取引された。
あすみが丘,土気,19,13000000,３ＬＤＫ,90,1993年,ＲＣ,あすみが丘、土気から19、1993年、ＲＣの３ＬＤＫ、90のマンションが13000000で取引された。
あすみが丘,土気,18,11000000,３ＬＤＫ,80,1994年,ＲＣ,あすみが丘、土気から18、1994年、ＲＣの３ＬＤＫ、80のマンションが11000000で取引された。
あすみが丘,土気,18,13000000,３ＬＤＫ,85,1994年,ＲＣ,あすみが丘、土気から18、1994年、ＲＣの３ＬＤＫ、85のマンションが13000000で取引された。
あすみが丘,土気,17,11000000,３ＬＤＫ,80,1995年,ＲＣ,あすみが丘、土気から17、1995年、ＲＣの３ＬＤＫ、80のマンションが11000000で取引された。
あすみが丘,土気,3,12000000,３ＬＤＫ,70,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの３ＬＤＫ、70のマンションが12000000で取引された。
あすみが丘,土気,19,13000000,３ＬＤＫ,80,1993年,ＳＲＣ,あすみが丘、土気から19、1993年、ＳＲＣの３ＬＤＫ、80のマンションが13000000で取引された。
あすみが丘,土気,18,11000000,３ＬＤＫ,80,1995年,ＲＣ,あすみが丘、土気から18、1995年、ＲＣの３ＬＤＫ、80のマンションが11000000で取引された。
あすみが丘,土気,,11000000,３ＬＤＫ,75,1997年,ＳＲＣ,あすみが丘、土気から、1997年、ＳＲＣの３ＬＤＫ、75のマンションが11000000で取引された。
あすみが丘,土気,17,12000000,３ＬＤＫ,80,1997年,ＳＲＣ,あすみが丘、土気から17、1997年、ＳＲＣの３ＬＤＫ、80のマンションが12000000で取引された。
あすみが丘,土気,17,14000000,３ＬＤＫ,80,1997年,ＳＲＣ,あすみが丘、土気から17、1997年、ＳＲＣの３ＬＤＫ、80のマンションが14000000で取引された。
あすみが丘,土気,14,16000000,３ＬＤＫ,80,1997年,ＲＣ,あすみが丘、土気から14、1997年、ＲＣの３ＬＤＫ、80のマンションが16000000で取引された。
あすみが丘,土気,17,12000000,３ＬＤＫ,80,1997年,ＳＲＣ,あすみが丘、土気から17、1997年、ＳＲＣの３ＬＤＫ、80のマンションが12000000で取引された。
土気町,土気,12,8800000,２ＬＤＫ,55,2001年,ＲＣ,土気町、土気から12、2001年、ＲＣの２ＬＤＫ、55のマンションが8800000で取引された。
